level_rank,taxonomy_level,band,band_rank,tier_rank,sev_rank,rule_id,name,category,file,confidence_tier,proposed_tier,severity_default,source_type,originator,genre,requires
8,dialogue,S,1,0,1,comedy_subtext_not_literal,Dialogue Must Have Subtext,dialogue,comedy,high,medium,medium,attributed_principle,Scriptshadow/Amber,comedy,scene_text
8,dialogue,S,1,0,1,dialogue_emotional_leakage,Emotions Leak Through Dialogue,emotion,dialogue_advanced,high,medium,medium,general_craft,,,scene_text
8,dialogue,S,1,0,1,dialogue_exposition_disguised,Exposition Must Be Disguised,exposition,dialogue_advanced,high,medium,medium,general_craft,,,scene_text
8,dialogue,S,1,0,1,dialogue_power_dynamics,Dialogue Reveals Power Dynamics,power,dialogue_advanced,high,medium,medium,general_craft,,,scene_text
8,dialogue,S,1,0,1,dialogue_purpose_driven,Every Line Must Have Purpose,purpose,dialogue_advanced,high,medium,medium,general_craft,,,scene_text
8,dialogue,S,1,0,1,dialogue_voice_distinct,Each Character Has Distinct Voice,character_voice,dialogue_advanced,high,low,medium,general_craft,James Scott Bell,,scene_text
8,dialogue,S,1,0,1,drama_dialogue_subtext,Dramatic Dialogue Contains Subtext,dialogue_craft,drama,high,medium,medium,general_craft,,drama,scene_text
8,dialogue,S,1,1,1,exposition_as_ammunition,"Exposition as Ammunition, Not Data Dump",exposition,dialogue,medium,medium,medium,framework,Robert McKee,,scene_text
8,dialogue,E,2,0,1,dialogueGMEMATICultural,Dialogue Reflects Cultural Context,cultural,dialogue_advanced,high,medium,medium,general_craft,,,scene_text
8,dialogue,E,2,0,1,dialogue_rhythm_pacing,Dialogue Rhythm Affects Pacing,rhythm,dialogue_advanced,high,medium,medium,general_craft,,,scene_text
8,dialogue,E,2,0,1,dialogue_silence_powerful,Silence Can Be Most Powerful Dialogue,silence,dialogue_advanced,high,low,medium,general_craft,,,scene_text
8,dialogue,E,2,0,1,martell_three_line_rule,Three Line Rule (Dialogue Brevity),dialogue_craft,dialogue,high,high,medium,framework,William Martell,,scene_text
8,dialogue,E,2,0,2,dialogue_callbacks_payoffs,Dialogue Callbacks Create Cohesion,cohesion,dialogue_advanced,high,medium,low,general_craft,,,scene_text
8,dialogue,E,2,0,2,dialogue_interrupts_overlaps,Interruptions and Overlaps Create Realism,realism,dialogue_advanced,high,medium,low,general_craft,,,scene_text
8,dialogue,E,2,2,2,distinct_character_voice,Distinct Character Voice,voice,dialogue,low,low,low,general_craft,,,scene_text|knowledge_graph
